902	902_ak5PhgqSfqk.mp4	147	https://cognitivestudy.blob.core.windows.net/videos/902_ak5PhgqSfqk.mp4	30120	Casey's: Famous for Pizza Casey's is a great pizza restaurant in the small town of home. It is also a general store, where customers can find groceries and other items. The restaurant is known for its great deals and friendly service.	Title
903	903_y9-vWXlHcR8.mp4	44	https://cognitivestudy.blob.core.windows.net/videos/903_y9-vWXlHcR8.mp4	44400	Innovating and Caring for Communities | Allstate Insurance When our communities need help the most, we find innovative ways to help.	Title
904	904_FqqXh3Kg8Cg.mp4	1	https://cognitivestudy.blob.core.windows.net/videos/904_FqqXh3Kg8Cg.mp4	48850	"Undercarpet Cabling The ""Undercarpet Cabling"" system is a way to install power and data cables under carpet squares without having to x-ray the floors or drill through the concrete. This allows for less disruption and grief for your neighbors, while still providing adequate cabling."	Title
905	905_fVk-o4yGL-c.mp4	208	https://cognitivestudy.blob.core.windows.net/videos/905_fVk-o4yGL-c.mp4	20020	Tough on Scratch - A Digital Journey Inside Corning® Gorilla® Glass Corning Gorilla Glass is chemically strengthened through an ion exchange process that creates a layer of armor to help reduce cracking, scratches, and breakage. Is Corning Gorilla Glass on your phone? Find out:	Title
906	906_jH2Td_JbCyw.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/906_jH2Td_JbCyw.mp4	34600	A Better Way To Browse On Your TV | Netflix We're introducing a new feature to the TV experience to make easier to find something to watch, so you can browse less and watch more. Members	Title
907	907_JBUhFA01YmU.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/907_JBUhFA01YmU.mp4	47550	Toggle Animation from Essential Graphics (12.1) | Adobe Creative Cloud Animate more quickly with the ability to toggle on animation for Position, Rotation, Anchor Point, Scale, and Opacity by clicking their icons in the Essential Graphics panel and then adjusting the property in the panel or by editing the graphic layer directly in the Program Monitor. As you move your playhead, changes you make to the property are recorded as	Title
908	908_VXhYn8BgrMA.mp4	273	https://cognitivestudy.blob.core.windows.net/videos/908_VXhYn8BgrMA.mp4	30070	Recycling Tricks ft. Tania Tare Recycling doesnt have to be tricky. Golf trick shot artist shows how its done at the Waste Management Phoenix Open.	Title
909	909_jrH0nWriGtg.mp4	52	https://cognitivestudy.blob.core.windows.net/videos/909_jrH0nWriGtg.mp4	30210	When it comes to tech, CarMax is crushing it Join for the cutting-edge tech. Stay for the culture.	Title
910	910_syE11OwSbi0.mp4	224	https://cognitivestudy.blob.core.windows.net/videos/910_syE11OwSbi0.mp4	30050	Knowledge. It's Where Innovation Begins. We're standing behind those working to improve the world's health, safety, and efficiency through information technology engineering and science	Title
911	911_KcU8MJnS6EQ.mp4	63	https://cognitivestudy.blob.core.windows.net/videos/911_KcU8MJnS6EQ.mp4	51690	Publix Pharmacy Offers Blood Pressure, Cholesterol, Glucose Screenings Did you know the Publix Pharmacy does routine health screenings for cholesterol and glucose? Well, we do. And when your screening is over, your pharmacist looks at the results with you to compare your results to desired guidelines. You can even track your blood pressure and body mass index (BMI) at the Higi Station. Visit your Publix Pharmacy today to	Title
912	912_8iiW3TxWsHI.mp4	192	https://cognitivestudy.blob.core.windows.net/videos/912_8iiW3TxWsHI.mp4	30050	2K Gamers :30 | State Farm® Commercial Think you know everything about the NBA? Think again. Karl-Anthony Towns, GoldGlove, and Jake from State Farm are teaming up to challenge your assumptions about the leagueand insurance. Subscribe to our YouTube channel: Connect with us:	Title
914	914_aD_ilIfCXns.mp4	27	https://cognitivestudy.blob.core.windows.net/videos/914_aD_ilIfCXns.mp4	18040	Summer At the Touch of a Button | Uber From Tuesday 19th - Thursday 21st January, riders in Auckland, New Zealand can beat the 'back to work blues' by entering the promocode 'SUMMERNZ' and requesting summer to their office! Sign up to ride or drive at Tap a button and get to	Title
915	915_SyyIES-FOlM.mp4	231	https://cognitivestudy.blob.core.windows.net/videos/915_SyyIES-FOlM.mp4	23430	Benefit Cosmetics They're Real Mascara in Blue! | Ulta Beauty Available June 26! They're Real Mascara, now in coloful shades, lengthens, curls, volumizes, lifts & separates. Benefit's long-wearing formula won't smudge or dry out. A specially designed brush reveals lashes you never knew you had! Now in new shades.	Title
917	917_A_-aYD1WfLs.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/917_A_-aYD1WfLs.mp4	16070	Stranger Things Cast Gets Scared! Teaser [HD] | Netflix A love letter to the supernatural classics of the 80's, Stranger Things is the story of a young boy who vanishes into thin air. As friends, family and local police search for answers, they are drawn into an extraordinary mystery involving top-secret government experiments, terrifying supernatural forces and one very strange little girl. Stranger Things stars Winona Ryder, David Harbour,	Title
918	918_0ypy2VStQIc.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/918_0ypy2VStQIc.mp4	30000	Adobe Stock 2019 Visual Trend: Natural Instincts | Adobe Creative Cloud 	Title
920	920_3wYqMlQfE04.mp4	280	https://cognitivestudy.blob.core.windows.net/videos/920_3wYqMlQfE04.mp4	39500	5 Reasons To Learn Boxing - Dialogue Promo | Mary Kom | In Cinemas Now Catch Mary Kom reasoning it out as to why coach sir should teach her boxing. Omung Kumars directorial debut, Mary Kom stars Priyanka Chopra (in & as Mary Kom), Darshan Kumaar, Sunil Thapa, Zachary Coffin and Shishir Sharma Produced by Viacom 18 Motion Pictures & Sanjay Leela Bhansali. In cinemas NOW! Book your tickets today - Follow us on: Facebook:	Title
921	921_YWuZQBzEAYc.mp4	130	https://cognitivestudy.blob.core.windows.net/videos/921_YWuZQBzEAYc.mp4	45700	RAIDER X: The Leader the Force Follows Knife-fighters RAIDER X is the only aircraft designed to survive the future battlefield and with mission flexibility to adapt even faster than the battlespace changes. Providing unmatched battlefield intelligence and growth potential, RAIDER X is	Title
922	922_MTDHt1sDW_U.mp4	27	https://cognitivestudy.blob.core.windows.net/videos/922_MTDHt1sDW_U.mp4	37500	UBERCHOPPER on demand in Perth | Uber Free UBERCHOPPER rides at the touch of a button! Available Friday Dec 11th from 1PM - 3PM in Perth, Australia Videography by Tap a button and get to where you want to be. Connect with Uber: Ride with Uber: Like Uber on FACEBOOK:	Title
923	923_UMuFGda0uig.mp4	231	https://cognitivestudy.blob.core.windows.net/videos/923_UMuFGda0uig.mp4	34130	Benefit Cosmetics Precisely, My Brow Pencil | Ulta Beauty Transform shapeless, undefined brows with just a few flicks of this highly pigmented, super-slim pencil that lasts up to to 12 hours*! The custom, ultra-fine tip makes adding detailed definition to your brows easy, by drawing incredibly natural, hair- This rich, waterproof** pencil is ideal for spot filling sparse or over-tweezed areas and the smudge-proof formula	Title
925	925_PoIL_D2rhxE.mp4	147	https://cognitivestudy.blob.core.windows.net/videos/925_PoIL_D2rhxE.mp4	31440	"Casey's General Store Spot - ""Busy"" Casey's General Store is a convenient spot for residents in need of supplies and gas. They offer made-to-order pizza, coffee, and snacks. The store is always busy, but the staff is friendly and efficient. Casey's is a great place to stop for a quick bite or to stock up on supplies."	Title
926	926_RzHAJAPlCqc.mp4	233	https://cognitivestudy.blob.core.windows.net/videos/926_RzHAJAPlCqc.mp4	46510	Trainee | Progressive Insurance Commercial Ready to become a true master? First you must learn to protect the homes and autos of Progressive customers! Ready to bundle? Click here: JOIN US ON SOCIAL: Facebook: Twitter: Instagram: Pinterest: NAVIGATE A BETTER LIFE Life Lanes lifestyle blog by Progressive: -------------------------------------------------------------------------------- True to our name and to the 33 million+ people we protect Find out how we	Title
927	927_VvGAG5X-9x0.mp4	81	https://cognitivestudy.blob.core.windows.net/videos/927_VvGAG5X-9x0.mp4	17790	SHIELD Black Friday Game Sale Learn more: Love gaming and saving money but hate Holiday shopping crowds? Check out all the great titles and fantastic savings in the SHIELD Black Friday game sale. Whether you play Android or GeForce NOW streaming games, weve got you covered.	Title
928	928_X194QQZoUVs_update.mp4	229	https://cognitivestudy.blob.core.windows.net/videos/928_X194QQZoUVs_update.mp4	30260	Air Circulator - Dayton Product Review Video Learn more about the Air Circulator at:	Title
929	929_9fj8-jVUT68_update.mp4	219	https://cognitivestudy.blob.core.windows.net/videos/929_9fj8-jVUT68_update.mp4	32950	Turkey - TV Commercial for Milka Milka Televizyon Reklam Milka ikolatas ve rnlerimiz hakknda daha fazla bilgi edinmek ve kampanyalarmza katlmak iin yi ziyaret ediniz. Milkann dijital dnyasn kefetmek isterseniz veya adreslerinden ulaabilirsiniz.	Title
930	930_kKdXfgvJcj8.mp4	241	https://cognitivestudy.blob.core.windows.net/videos/930_kKdXfgvJcj8.mp4	32040	Cummins Home Generator Restores Power after Anchorage, Alaska Earthquake At 8:30 a.m. on November 30, 2018, a violent 7.0 magnitude earthquake shook Anchorage, Alaska, causing roads to collapse, walls to crack, power lines to fall and people to take cover. As the security camera footage in this video shows, despite suffering damage to their home, the Gorlick family's power remained on with the help of two Cummins 20 kW	Title
931	931_tG398B_FO_w.mp4	6	https://cognitivestudy.blob.core.windows.net/videos/931_tG398B_FO_w.mp4	57980	ClearCut™, Pipe Cutting and Tubing Punching Halliburton offers the latest and most experienced pipe-cutting and hole-punching services in the industry. Our wide range of integrated services, accessibility, collaborative attitude, reliability, and responsiveness is critical to risk contingency and pipe recovery operations. 2021 Halliburton. All Rights Reserved.	Title
932	932_UAxIrdUdU1s.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/932_UAxIrdUdU1s.mp4	52940	Infographics and Motion Graphic Templates in Premiere Pro CC | Adobe Creative Cloud Motion Graphics templates provide a comprehensive toolset for creating and managing imagery and brand identity in video content, combining polished graphics with efficient customization in editorial. Data-driven infographics turn numbers into stories: Subscribe: LETS CONNECT Facebook: Twitter: Instagram: Adobe Creative Cloud gives you the world's best creative apps so you can turn your brightest ideas into your greatest work across	Title
934	934_m9JzDXTk6m4.mp4	144	https://cognitivestudy.blob.core.windows.net/videos/934_m9JzDXTk6m4.mp4	55010	Laparotomy Drape Product demonstration video for the Cardinal Health Laparotomy Drape (cat. no. 29410)	Title
935	935_EzDnVpete_E.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/935_EzDnVpete_E.mp4	54470	Quick & Easy: New York Shabu Shabu French Dip with Au Jus Thinly sliced grilled beef and a toasted baguette make a savory sandwich to pair with homemade dipping sauce. Recipe: Watch this video and others featuring products available at Costco:	Title
936	936_x86dZIOTD-8.mp4	219	https://cognitivestudy.blob.core.windows.net/videos/936_x86dZIOTD-8.mp4	52900	India - Cadbury Dairy Milk Shots - Anurag Kashyap with friends TV Commercial  Watch our TV commercial from India for Cadbury Dairy Milk	Title
938	938_wkA88S9RzoI.mp4	231	https://cognitivestudy.blob.core.windows.net/videos/938_wkA88S9RzoI.mp4	15000	Mix and Match minis | Ulta Beauty Mini size, major beauty! Stock up with Follow us @ultabeauty everywhere for more tips and inspo! Instagram:	Title
939	939_D4vPfSPGy0k.mp4	21	https://cognitivestudy.blob.core.windows.net/videos/939_D4vPfSPGy0k.mp4	56940	Carmindy Beauty Launches on QVC With over 25 years in the beauty industry (including 10 years as the in-house makeup artist on TLCs hit show What Not to Wear), Camindy has worked with thousands of complexions and skin types. Now shes bringing all shes learned to QVC with the launch of her new line Carmindy Beauty, exclusive to QVC.	Title
940	940_uB7YQiqVMYA.mp4	36	https://cognitivestudy.blob.core.windows.net/videos/940_uB7YQiqVMYA.mp4	30000	Rebates On Energy-Efficient Insulation Or Windows | DTE Energy DTE Energy offers rebates on insulation and windows. Find out more here: At DTE Energy, our aspiration is to be the best-operated energy company in North America and a force for growth and prosperity in the communities where we live and serve. Our operating units include an electric company serving 2.3 million customers in Southeast Michigan and a natural gas	Title
941	941_A_gNqghDrfA.mp4	4	https://cognitivestudy.blob.core.windows.net/videos/941_A_gNqghDrfA.mp4	30050	Carvana - Pioneers of 100% Online Car Buying At Carvana, we didn't just pioneer online car buying - we reimagined the entire car buying experience. Building powerful technology that lets your shop thousands of cars from home, with a 360 degree interior and exterior view of every car and personalized financing on your terms. And we created a coast-to-coast network to deliver your car as soon as tomorrow	Title
942	942_yW3LvZsz12Y.mp4	27	https://cognitivestudy.blob.core.windows.net/videos/942_yW3LvZsz12Y.mp4	30050	Flexibility Works | Uber Flexibility is working a 40 hour week. Or a 4 hour week, if thats what you need. So its no wonder 85% of Canadian drivers say they need flexibility. Learn more about Uber: Please continue to wear a mask to help protect our neighbors, our families, and our communities. Connect	Title
943	943_E0h6jjj3MOQ.mp4	280	https://cognitivestudy.blob.core.windows.net/videos/943_E0h6jjj3MOQ.mp4	30440	Rahasya - Movie review | Kay Kay Menon, Tisca Chopra, Ashish Vidyarthi | In Cinemas Now An 18 year old girl is murdered in her own house and this time everyone is a suspect. Who is the real culprit behind this mystery? Solve the Rahasya in theaters near you. Book your tickets today: Directed by: Manish Gupta Produced by: Viacom18 Motion Pictures Co-Produced by: UVI Film Production Private limited Like us on Facebook - Follow us	Title
944	944_d9o55n_ZXGI.mp4	205	https://cognitivestudy.blob.core.windows.net/videos/944_d9o55n_ZXGI.mp4	37850	Safe benchtop instruments by Thermo Fisher Scientific …because your research can’t wait Powerful and safe benchtop instruments by Thermo Fisher Scientific offer you greater peace of mind to safely meet your research goals...because your research cant wait. Power up and keep up with our ongoing and entertaining video series to inspire you Learn how our innovative and comprehensive portfolio of benchtop instruments help simplify tedious tasks, keep you safe in the lab,	Title
945	945_0IbHnjC9c4s.mp4	280	https://cognitivestudy.blob.core.windows.net/videos/945_0IbHnjC9c4s.mp4	57420	Poshter Girl Official Teaser | Viacom18 Marathi | Releasing 12 February 2016 Here's presenting the official teaser of Poshter Girl, a Viacom18 Motion Pictures and Chalo Film Banaye production. In cinemas 12th February Connect with us: Viacom18 Motion Pictures Handles :- Facebook:- Twitter :- Instagram:-	Title
946	946_IJ9nLOo57Hw.mp4	69	https://cognitivestudy.blob.core.windows.net/videos/946_IJ9nLOo57Hw.mp4	30050	"Cheaper by the Dozen | Nothing Without You | Disney+ The all-new movie Cheaper by the Dozen"" premieres this Friday on Disney+! A fresh take on the 2003 hit family comedy starring Gabrielle Union and Zach Braff, check out the video for a glimpse at the funny and heartwarming story of the raucous exploits of a blended family of 12, the Bakers, as they navigate a hectic home life while"	Title
947	947_WN-P2xhnhXc.mp4	205	https://cognitivestudy.blob.core.windows.net/videos/947_WN-P2xhnhXc.mp4	45000	Introducing FluoroBrite™ DMEM The FluoroBrite DMEM medium is designed to provide high-quality imaging support for molecular probes. It has comparable fluorescence to PBS, and also preserves the health of cells with 8 times stronger signal to noise ratio and 90% reduction in background fluorescence.	Title
948	948_F4ymYscmsUw.mp4	171	https://cognitivestudy.blob.core.windows.net/videos/948_F4ymYscmsUw.mp4	59120	Xerox® Connect Apps for Cloud Storage Learn more at: Storing and retrieving hard copy forms, files and documents has never been easier or more secure. Easy access the safe and simple way.	Title
949	949_aAIlmrSruPU.mp4	130	https://cognitivestudy.blob.core.windows.net/videos/949_aAIlmrSruPU.mp4	54540	The Ultimate High Ground: 5G in Space Space is the ultimate high-ground and 5G, artificial intelligence, and rapid technology insertion will all empower joint all-domain operations which will help counter the rising threats we face today and tomorrow. In fact, speed is the key driver for winning in the 21st century battlespace: speed of resilience, speed of innovation and speed of connection. 5G will power everything	Title
950	950_AuFAIlz597c.mp4	18	https://cognitivestudy.blob.core.windows.net/videos/950_AuFAIlz597c.mp4	14020	Manufacturing & Industrial Waste Disposal Solutions Learn how Republic Services is influencing technology, sustainability, and compliance with waste disposal solutions in the manufacturing industry. Were the only recycling and waste provider to be recognized as a U.S. Green Building Council Gold Partner.	Title
951	951_WjzPzyktO7g.mp4	146	https://cognitivestudy.blob.core.windows.net/videos/951_WjzPzyktO7g.mp4	46300	 Person describing different finishes of posters using posters of dogs and kids.	Title
952	952_hbxKgc_Nm8A.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/952_hbxKgc_Nm8A.mp4	44810	Miracle-Gro Soaker System : watch this video featuring products available on Costco.com.	Title
953	953_0arDWgjQXNQ.mp4	46	https://cognitivestudy.blob.core.windows.net/videos/953_0arDWgjQXNQ.mp4	28120	Tech Knowledge Episode 2 - Neuromodulation This video discusses neuromodulation, a technology with the potential to revolutionize healthcare. Deep brain stimulation is one application of neuromodulation that is already having success in treating movement disorders. The future of neuromodulation is vast, with possibilities for mind-blowing improvements in healthcare.	Title
955	955_GacvFk8lea8.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/955_GacvFk8lea8.mp4	50020	The Gift S2 | Date Announcement | Netflix There are more unrevealed truths beyond everything you know. season 2 will be only on Netflix on September 10. Members can watch as much	Title
956	956_Gnj9uWC0t-Q.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/956_Gnj9uWC0t-Q.mp4	24570	Natrol Melatonin 5 mg 250 Fast Dissolve Tablets Natrol Melatonin 5 mg 250 Fast Dissolve Tablets: watch this video featuring products available on Costco.com. More information 1 Natrol Melatonin 5 mg 250 Fast Dissolve Tablets	Title
957	957_t8EPhQhNQCU.mp4	231	https://cognitivestudy.blob.core.windows.net/videos/957_t8EPhQhNQCU.mp4	28400	Style Sexy Hair Texture Matte Clay | Ulta Beauty 	Title
958	958_HetE2r00Ank.mp4	166	https://cognitivestudy.blob.core.windows.net/videos/958_HetE2r00Ank.mp4	15020	Customers describe shopping at Burlington with one word: WOW! No matter what customers come in looking for at Burlington, they cant help but be WOWed by the amazing deals on amazing brands and styles. Burlington. Love the gifts. Love the deals. Find a Burlington store near you: Connect with us:	Title
959	959_t8Uy4r7-jPQ.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/959_t8Uy4r7-jPQ.mp4	19950	"BOJACK Promo | ""Diane"" | Netflix A scene from BOJACK HORSEMAN. All Episodes now streaming, only at Netflix. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen."	Title
960	960_07cTnLDVulY.mp4	100	https://cognitivestudy.blob.core.windows.net/videos/960_07cTnLDVulY.mp4	30050	Get a move on with a Regions mortgage When it's time to make a move, a Regions mortgage comes with helpful advice and outstanding rates. regions.com/getamortgage	Title
961	961_Y7gbqnCCLyo.mp4	81	https://cognitivestudy.blob.core.windows.net/videos/961_Y7gbqnCCLyo.mp4	56630	Integrating Design and Engineering in a Virtual Studio with NVIDIA DRIVE Sim Simulation is an essential part of testing and validating autonomous vehicles. Now, NVIDIA DRIVE Sim can also simulate the inside of the car. Future cars will not just have dashboards, but surround displays where digital and physical design come together. DRIVE Sim running on DRIVE Constellation will be the virtual studio where car designers, software engineers, and electronics engineers collaborate.	Title
962	962_7dqkb5D-IS4.mp4	35	https://cognitivestudy.blob.core.windows.net/videos/962_7dqkb5D-IS4.mp4	10380	E300 Electronic Overload Relay - 360 View A brief video showing the 360 view of an E300 Electronic Overload Relay. Learn more about the E300 overload relay	Title
963	963_A4VyfKpNKfA.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/963_A4VyfKpNKfA.mp4	27610	Hovering Art Director Bonus Video: Sunrise, Not Sunset | Adobe Creative Cloud Adobe offers designers the perfect solution for Hovering Art Directors - Adobe Stock. Learn more about our Hovering Art Director Action Figure and how you could win one: Subscribe: LETS CONNECT Facebook: Twitter: Instagram: Adobe Creative Cloud gives you the world's best creative apps so you can turn your brightest ideas into your greatest work across your desktop and mobile	Title
964	964_YheH5hjVbnY.mp4	63	https://cognitivestudy.blob.core.windows.net/videos/964_YheH5hjVbnY.mp4	58960	Baked Citrus Fish with Almonds and Beans, a Publix Aprons® recipe. Set sail for this delicious easy seafood dish tonight. In just 30 minutes, you can dig into mouth watering baked fish. Pair it with beans, fennel, and orange for a flavor combination youll want to reel in again and again. To view this recipe, visit Publix is the largest employee-owned supermarket chain in the United States, and we just keep	Title
965	965_hviBOxa4EBk.mp4	85	https://cognitivestudy.blob.core.windows.net/videos/965_hviBOxa4EBk.mp4	24330	 Tips and information to connect your Fire to Wi-Fi. Learn more about Fire Tablet on Amazon Help:	Title
966	966_2mplOcr_nig.mp4	52	https://cognitivestudy.blob.core.windows.net/videos/966_2mplOcr_nig.mp4	30050	CarMax | Money Back Guarantee | Stephen Curry Our Love Your Car Guarantee includes 24-hour test drives and 30-day returns (up to 1500 miles).	Title
969	969_UT3rFC2ympQ.mp4	243	https://cognitivestudy.blob.core.windows.net/videos/969_UT3rFC2ympQ.mp4	45050	Cigna Healthy Recipe | Pistachio & Pomegranate Yogurt Bark Try out this healthy 4-ingredient snack. A perfect snack or dessert for any day or special occasion Ingredients: 2 cups Greek yogurt 3 tablespoons honey 1/2 cup pistachios 1/2 cup pomegranate Optional: Shave frozen white chocolate or coconut on top Directions: Combine yogurt, honey, pistachios and pomegranate. Spread the mixture onto a baking sheet lined with parchment to inch	Title
970	970_t-k7FtZxyE8.mp4	7	https://cognitivestudy.blob.core.windows.net/videos/970_t-k7FtZxyE8.mp4	52220	What is Credit History and Why Does it Matter? | Discover | Credit Resource Center Why credit history is important and how credit history impacts your credit score. Created by Discover. Discover Credit Glossary: Discover Resource Center: Your credit history is an important piece of information for lenders. Your credit history takes your past credit behavior, including past loans and history of paying bills on time or late, and is used as one of several	Title
972	972_WF2NCvoFkKs.mp4	196	https://cognitivestudy.blob.core.windows.net/videos/972_WF2NCvoFkKs.mp4	48530	Introducing PINKBAR®+ Fiberglas™ Rebar | Owens Corning Infrastructure Solutions STRONGER. LIGHTER. CODE APPROVED. RUSTPROOF PINKBAR+ Fiberglas Rebar by Owens Corning Infrastructure Solutions is enabling Glas-Powered Concrete. Engineered to meet the performance standards you trust and expect, fiberglass rebar is proven to be stronger and more durable than traditional reinforcement materials. Learn more: Follow us:	Title
974	974_-jvrcwxb6pY.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/974_-jvrcwxb6pY.mp4	52920	The Cuphead Show! | Calling All Bosses | Netflix King Dice and the Devil are plotting against Cuphead & Mugman, head on down to CupheadCountdown.com to lend a helping hand. Are you up for the challenge? SUBSCRIBE: About Netflix: Netflix is the world's leading streaming entertainment service with 214 million paid memberships in over 190 countries enjoying TV series, documentaries, feature films and mobile games across a wide variety	Title
975	975_k8Nt3j_KkII.mp4	280	https://cognitivestudy.blob.core.windows.net/videos/975_k8Nt3j_KkII.mp4	41050	Diligence. Homework. Preparation | Force 2 | Dialogue Promo | John Abraham | Sonakshi Sinha Watch what happens when a threat to the nation arises! A film by Abhinay Deo, Produced by Vipul Amrutlal Shah, JA entertainment Pvt. Ltd. And Viacom 18 Motion Pictures. To know more, connect with us: Viacom18 Motion Pictures Handles :- Facebook:- Twitter :- Instagram:-	Title
976	976_QGX5iNoX9Sk.mp4	231	https://cognitivestudy.blob.core.windows.net/videos/976_QGX5iNoX9Sk.mp4	20570	Love Your Curls at The Gorgeous Hair Event | Ulta Beauty 	Title
977	977_sgztBb7jPI4.mp4	228	https://cognitivestudy.blob.core.windows.net/videos/977_sgztBb7jPI4.mp4	25660	Internet of Things Day - Connected Car | AT&T Mobilizing Your World. Connect with AT&T Visit the AT&T Website: Like AT&T on Facebook: Follow AT&T on Twitter: Follow AT&T on Instagram: Follow AT&T on LinkedIn: Follow AT&T on Google Plus: For Customer Service assistance, tweet us: For Business Customer	Title
978	978_9f86Rp5WpCI.mp4	280	https://cognitivestudy.blob.core.windows.net/videos/978_9f86Rp5WpCI.mp4	15000	Kannum Kannum Kollaiyadithaal | In Cinemas 28th February | Dialogue Promo 1 Get ready for the romantic thriller ride. Check out the brand new promo of now. Starring: DULQUER SALMAAN | RITU VARMA | RAKSHAN | NIRANJANI AHATHIAN | GAUTHAM VASUDEV MENON Director : DESINGH PERIYASAMY Producer : VIACOM18 STUDIOS & ANTO JOSEPH FILM COMPANY DOP : K.M.BHASKARAN Music : MASALA COFFEE & HARSHA VARDHAN RAMESHWAR Background score : HARSHA	Title
979	979_9fA_w_8NTK8.mp4	195	https://cognitivestudy.blob.core.windows.net/videos/979_9fA_w_8NTK8.mp4	29120	Using Spot the Robotic Dog at Nuclear Power Stations What knows how to sit, lay down and roll over; weighs about 70 pounds; and can monitor and map radiation levels? Answer: Spot the robotic dog! We're piloting the use of Spot at our nuclear power stations in Virginia for a variety of applications. For example, before people even set foot in an area, the robot can give us	Title
980	980_hECxXS3Tgis.mp4	67	https://cognitivestudy.blob.core.windows.net/videos/980_hECxXS3Tgis.mp4	56490	Glowing Lemonade Popsicles | Epic Everyday | American Express Make summer nights epic with Glowing Lemonade Popsicles. Whether theyre for you or your kids, enjoy a treat thatll light up your taste buds. Buy the ingredients and earn 3% cash back at US supermarkets on up to $6,000 in purchases. Terms apply. Learn more at Youll need 1 cup fresh lemon juice, strained 1/2 cup sugar	Title
981	981_Z7F4ReN0uVc.mp4	276	https://cognitivestudy.blob.core.windows.net/videos/981_Z7F4ReN0uVc.mp4	30190	Practical Network Design Fundamentals - CCDP Training Videos Learn about Design Methodologies and Approaches, Campus Network Design, Data Center Network Design, WAN Network Design in this powerful 4-part CCDP Training Video series presented by CCDE certified experts, Andr Laurent and Marwan Al-shawi. Watch these free videos now on the Cisco Learning Network. Subscribe to Cisco's YouTube channel:	Title
982	982_JjfcNTExfTo.mp4	69	https://cognitivestudy.blob.core.windows.net/videos/982_JjfcNTExfTo.mp4	30050	Disney's The Nutcracker and the Four Realms - Pedigree Event In theaters November 2nd. All Clara (Mackenzie Foy) wants is a key a one-of-a-kind key that will unlock a box that holds a priceless gift. A golden thread, presented to her at godfather Drosselmeyers (Morgan Freeman) annual holiday party, leads her to the coveted keywhich promptly disappears into a strange and mysterious parallel world. Its there that Clara encounters	Title
983	983_adLqhY6WWD0.mp4	190	https://cognitivestudy.blob.core.windows.net/videos/983_adLqhY6WWD0.mp4	30000	Back to School “Entrance” Full Commercial: Academy Sports + Outdoors Academy Sports + Outdoors will help you go back to school in style! Connect with other Academy Sports + Outdoors fans: Watch other videos by Academy Sports + Outdoors and subscribe:	Title
984	984_kLaYxVrZe24.mp4	231	https://cognitivestudy.blob.core.windows.net/videos/984_kLaYxVrZe24.mp4	42050	#BrushBeliever: How to Apply Foundation with Brushes | Ulta Beauty A flawless face get it with makeup brushes. This is a how-to on applying foundation for a smooth, even face (no eeky streaks!) with a how-to from IT Brushes for ULTA. Believer	Title
985	985_EJ1JocSXsKU.mp4	109	https://cognitivestudy.blob.core.windows.net/videos/985_EJ1JocSXsKU.mp4	15000	Everything You Love About a Farmers Market 15s | Sprouts Farmers Market At Sprouts, you'll find everything you love about a farmers market, seven days a week, rain or shine! Explore carefully-sourced quality meats, 100% sustainable seafood and the freshest, local and organic produce, plus plenty of truly unique discoveries around every corner. Sprouts, Where Goodness Grows Love Sprouts? Be sure to connect with us here:	Title
986	986_MWQenAKdhNo.mp4	226	https://cognitivestudy.blob.core.windows.net/videos/986_MWQenAKdhNo.mp4	31720	Graybar Mobile Disaster Recovery Units - Explained in 30 Seconds Graybar's mobile disaster recovery units deliver a trailer full of emergency materials Their national logistics network can quickly supply the necessary inventory to the disaster site.	Title
987	987_VLwQMUyTV3g.mp4	86	https://cognitivestudy.blob.core.windows.net/videos/987_VLwQMUyTV3g.mp4	30090	Keurig® Commercial: How Does Keurig Always Have My Favorite? With so many Keurig Brewed Beverages, everyone's favorite coffee, tea, hot cocoa, and more are just one button away.	Title
988	988_cecUq8YW3l4.mp4	156	https://cognitivestudy.blob.core.windows.net/videos/988_cecUq8YW3l4.mp4	39590	Foot Locker x adidas Asterisk Collective 2019 'Cause creativity is part of all our lives, and creativity is what inspires the change. Join us on our mission.	Title
989	989_ZBTmMeu380o.mp4	8	https://cognitivestudy.blob.core.windows.net/videos/989_ZBTmMeu380o.mp4	50810	Create Double Sided Post Cards at Walgreens With double sided post cards, you can add photos and texts to both sides. Sold in sets of 20, and with thick card stock, you are sure to love our double sided cards. Create your own today at Walgreens!	Title
